sample_id,elapsed_ms,x,y,z,collision,blocked_path
72,258000,84.30,6224.18,83.84,3,0
73,259000,84.30,6224.18,83.84,3,0
74,260000,84.30,6224.18,83.84,3,0
75,261000,84.30,6224.18,83.84,3,0
76,262000,84.30,6224.18,83.84,3,0
77,263000,84.30,6224.18,83.84,3,0
78,264000,84.30,6224.18,83.84,3,0
79,265000,84.30,6224.18,83.84,3,0
80,266000,84.30,6224.18,83.84,3,0
81,267000,84.30,6224.18,83.84,3,0
82,268000,84.30,6224.18,83.84,3,0
83,269000,84.30,6224.18,83.84,3,0
84,270000,84.30,6224.18,83.84,3,0
85,271000,84.30,6224.18,83.84,3,0
86,272000,84.30,6224.18,83.84,3,0
87,273000,84.30,6224.18,83.84,3,0
88,274000,84.30,6224.18,83.84,3,0
89,275000,84.30,6224.18,83.84,3,0
90,276000,84.30,6224.18,83.84,3,0
91,277000,84.30,6224.18,83.84,3,0
92,278000,84.30,6224.18,83.84,3,0
93,279000,84.30,6224.18,83.84,3,0
94,280000,84.30,6224.18,83.84,3,0
95,281000,84.30,6224.18,83.84,3,0
96,282000,84.30,6224.18,83.84,3,0
97,283000,84.30,6224.18,83.84,3,0
98,284000,84.30,6224.18,83.84,3,0
99,285000,84.30,6224.18,83.84,3,0
100,286000,84.30,6224.18,83.84,3,0
101,287000,84.30,6224.18,83.84,3,0
102,288000,84.30,6224.18,83.84,3,0
103,289000,84.30,6224.18,83.84,3,0
104,290000,84.30,6224.18,83.84,3,0
105,291000,84.30,6224.18,83.84,3,0
106,292000,84.30,6224.18,83.84,3,0
107,293000,84.30,6224.18,83.84,3,0
108,294000,84.30,6224.18,83.84,3,0
109,295000,84.30,6224.18,83.84,3,0
110,296000,84.30,6224.18,83.84,3,0
111,297000,84.30,6224.18,83.84,3,0
112,298000,84.30,6224.18,83.84,3,0
113,299000,84.30,6224.18,83.84,3,0
114,300000,84.30,6224.18,83.84,3,0
115,301000,84.30,6224.18,83.84,3,0
116,302000,84.30,6224.18,83.84,3,0
117,303000,84.30,6224.18,83.84,3,0
118,304000,84.30,6224.18,83.84,3,0
119,305000,84.30,6224.18,83.84,3,0
120,306000,84.30,6224.18,83.84,3,0
121,307000,84.30,6224.18,83.84,3,0
122,308000,84.30,6224.18,83.84,3,0
123,309000,84.30,6224.18,83.84,3,0
124,310000,84.30,6224.18,83.84,3,0
125,311000,84.30,6224.18,83.84,3,0
126,312000,84.30,6224.18,83.84,3,0
127,313000,84.30,6224.18,83.84,3,0
128,314000,84.30,6224.18,83.84,3,0
129,315000,84.30,6224.18,83.84,3,0
130,316000,84.30,6224.18,83.84,3,0
131,317000,84.30,6224.18,83.84,3,0
132,318000,84.30,6224.18,83.84,3,0
133,319000,84.30,6224.18,83.84,3,0
134,320000,84.30,6224.18,83.84,3,0
135,321000,84.30,6224.18,83.84,3,0
136,322000,84.30,6224.18,83.84,3,0
137,323000,84.30,6224.18,83.84,3,0
138,324000,84.30,6224.18,83.84,3,0
139,325000,84.30,6224.18,83.84,3,0
140,326000,84.30,6224.18,83.84,3,0
141,327000,84.30,6224.18,83.84,3,0
142,328000,84.30,6224.18,83.84,3,0
143,329000,84.30,6224.18,83.84,3,0
144,330000,84.30,6224.18,83.84,3,0
145,331000,84.30,6224.18,83.84,3,0
146,332000,84.30,6224.18,83.84,3,0
147,333000,84.30,6224.18,83.84,3,0
148,334000,84.30,6224.18,83.84,3,0
149,335000,84.30,6224.18,83.84,3,0
150,336000,84.30,6224.18,83.84,3,0
151,337000,84.30,6224.18,83.84,3,0
152,338000,84.30,6224.18,83.84,3,0
153,339000,84.30,6224.18,83.84,3,0
154,340000,84.30,6224.18,83.84,3,0
155,341000,84.30,6224.18,83.84,3,0
156,342000,84.30,6224.18,83.84,3,0
157,343000,84.30,6224.18,83.84,3,0
158,344000,84.30,6224.18,83.84,3,0
159,345000,84.30,6224.18,83.84,3,0
160,346000,84.30,6224.18,83.84,3,0
161,347000,84.30,6224.18,83.84,3,0
162,348000,84.30,6224.18,83.84,3,0
163,349000,84.30,6224.18,83.84,3,0
164,350000,84.30,6224.18,83.84,3,0
165,351000,84.30,6224.18,83.84,3,0
166,352000,84.30,6224.18,83.84,3,0
167,353000,84.30,6224.18,83.84,3,0
168,354000,84.30,6224.18,83.84,3,0
169,355000,84.30,6224.18,83.84,3,0
170,356000,84.30,6224.18,83.84,3,0
171,357000,84.30,6224.18,83.84,3,0
172,358000,84.30,6224.18,83.84,3,0
173,359000,84.30,6224.18,83.84,3,0
174,360000,84.30,6224.18,83.84,3,0
175,361000,84.30,6224.18,83.84,3,0
176,362000,84.30,6224.18,83.84,3,0
177,363000,84.30,6224.18,83.84,3,0
178,364000,84.30,6224.18,83.84,3,0
179,365000,84.30,6224.18,83.84,3,0
180,366000,84.30,6224.18,83.84,3,0
181,367000,84.30,6224.18,83.84,3,0
182,368000,84.30,6224.18,83.84,3,0
183,369000,84.30,6224.18,83.84,3,0
184,370000,84.30,6224.18,83.84,3,0
185,371000,84.30,6224.18,83.84,3,0
186,372000,84.30,6224.18,83.84,3,0
187,373000,84.30,6224.18,83.84,3,0
188,374000,84.30,6224.18,83.84,3,0
189,375000,84.30,6224.18,83.84,3,0
190,376000,84.30,6224.18,83.84,3,0
191,377000,84.30,6224.18,83.84,3,0
192,378000,84.30,6224.18,83.84,3,0
193,379000,84.30,6224.18,83.84,3,0
194,380000,84.30,6224.18,83.84,3,0
195,381000,84.30,6224.18,83.84,3,0
196,382000,84.30,6224.18,83.84,3,0
197,383000,84.30,6224.18,83.84,3,0
198,384000,84.30,6224.18,83.84,3,0
199,385000,84.30,6224.18,83.84,3,0
200,386000,84.30,6224.18,83.84,3,0
201,387000,84.30,6224.18,83.84,3,0
202,388000,84.30,6224.18,83.84,3,0
203,389000,84.30,6224.18,83.84,3,0
204,390000,84.30,6224.18,83.84,3,0
205,391000,84.30,6224.18,83.84,3,0
206,392000,84.30,6224.18,83.84,3,0
207,393000,84.30,6224.18,83.84,3,0
208,394000,84.30,6224.18,83.84,3,0
209,395000,84.30,6224.18,83.84,3,0
210,396000,84.30,6224.18,83.84,3,0
211,397000,84.30,6224.18,83.84,3,0
212,398000,84.30,6224.18,83.84,3,0
213,399000,84.30,6224.18,83.84,3,0
214,400000,84.30,6224.18,83.84,3,0
215,401000,84.30,6224.18,83.84,3,0
216,402000,84.30,6224.18,83.84,3,0
217,403000,84.30,6224.18,83.84,3,0
218,404000,84.30,6224.18,83.84,3,0
219,405000,84.30,6224.18,83.84,3,0
220,406000,84.30,6224.18,83.84,3,0
221,407000,84.30,6224.18,83.84,3,0
222,408000,84.30,6224.18,83.84,3,0
223,409000,84.30,6224.18,83.84,3,0
224,410000,84.30,6224.18,83.84,3,0
225,411000,84.30,6224.18,83.84,3,0
226,412000,84.30,6224.18,83.84,3,0
227,413000,84.30,6224.18,83.84,3,0
228,414000,84.30,6224.18,83.84,3,0
229,415000,84.30,6224.18,83.84,3,0
230,416000,84.30,6224.18,83.84,3,0
231,417000,84.30,6224.18,83.84,3,0
232,418000,84.30,6224.18,83.84,3,0
233,419000,84.30,6224.18,83.84,3,0
234,420000,84.30,6224.18,83.84,3,0
235,421000,84.30,6224.18,83.84,3,0
236,422000,84.30,6224.18,83.84,3,0
237,423000,84.30,6224.18,83.84,3,0
238,424000,84.30,6224.18,83.84,3,0
239,425000,84.30,6224.18,83.84,3,0
240,426000,84.30,6224.18,83.84,3,0
241,427000,84.30,6224.18,83.84,3,0
242,428000,84.30,6224.18,83.84,3,0
243,429000,84.30,6224.18,83.84,3,0
244,430000,84.30,6224.18,83.84,3,0
245,431000,84.30,6224.18,83.84,3,0
246,432000,84.30,6224.18,83.84,3,0
247,433000,84.30,6224.18,83.84,3,0
248,434000,84.30,6224.18,83.84,3,0
249,435000,84.30,6224.18,83.84,3,0
250,436000,84.30,6224.18,83.84,3,0
251,437000,84.30,6224.18,83.84,3,0
252,438000,84.30,6224.18,83.84,3,0
253,439000,84.30,6224.18,83.84,3,0
254,440000,84.30,6224.18,83.84,3,0
255,441000,84.30,6224.18,83.84,3,0
256,442000,84.30,6224.18,83.84,3,0
257,443000,84.30,6224.18,83.84,3,0
258,444000,84.30,6224.18,83.84,3,0
259,445000,84.30,6224.18,83.84,3,0
260,446000,84.30,6224.18,83.84,3,0
261,447000,84.30,6224.18,83.84,3,0
262,448000,84.30,6224.18,83.84,3,0
263,449000,84.30,6224.18,83.84,3,0
264,450000,84.30,6224.18,83.84,3,0
265,451000,84.30,6224.18,83.84,3,0
266,452000,84.30,6224.18,83.84,3,0
267,453000,84.30,6224.18,83.84,3,0
268,454000,84.30,6224.18,83.84,3,0
269,455000,84.30,6224.18,83.84,3,0
270,456000,84.30,6224.18,83.84,3,0
271,457000,84.30,6224.18,83.84,3,0
272,458000,84.30,6224.18,83.84,3,0
273,459000,84.30,6224.18,83.84,3,0
274,460000,84.30,6224.18,83.84,3,0
275,461000,84.30,6224.18,83.84,3,0
276,462000,84.30,6224.18,83.84,3,0
277,463000,84.30,6224.18,83.84,3,0
278,464000,84.30,6224.18,83.84,3,0
279,465000,84.30,6224.18,83.84,3,0
280,466000,84.30,6224.18,83.84,3,0
281,467000,84.30,6224.18,83.84,3,0
282,468000,84.30,6224.18,83.84,3,0
283,469000,84.30,6224.18,83.84,3,0
284,470000,84.30,6224.18,83.84,3,0
285,471000,84.30,6224.18,83.84,3,0
286,472000,84.30,6224.18,83.84,3,0
287,473000,84.30,6224.18,83.84,3,0
288,474000,84.30,6224.18,83.84,3,0
289,475000,84.30,6224.18,83.84,3,0
290,476000,84.30,6224.18,83.84,3,0
291,477000,84.30,6224.18,83.84,3,0
292,478000,84.30,6224.18,83.84,3,0
293,479000,84.30,6224.18,83.84,3,0
294,480000,84.30,6224.18,83.84,3,0
295,481000,84.30,6224.18,83.84,3,0
296,482000,84.30,6224.18,83.84,3,0
297,483000,84.30,6224.18,83.84,3,0
298,484000,84.30,6224.18,83.84,3,0
299,485000,84.30,6224.18,83.84,3,0
300,486000,84.30,6224.18,83.84,3,0
301,487000,84.30,6224.18,83.84,3,0
302,488000,84.30,6224.18,83.84,3,0
303,489000,84.30,6224.18,83.84,3,0
304,490000,84.30,6224.18,83.84,3,0
305,491000,84.30,6224.18,83.84,3,0
306,492000,84.30,6224.18,83.84,3,0
307,493000,84.30,6224.18,83.84,3,0
308,494000,84.30,6224.18,83.84,3,0
309,495000,84.30,6224.18,83.84,3,0
310,496000,84.30,6224.18,83.84,3,0
311,497000,84.30,6224.18,83.84,3,0
312,498000,84.30,6224.18,83.84,3,0
313,499000,84.30,6224.18,83.84,3,0
314,500000,84.30,6224.18,83.84,3,0
315,501000,84.30,6224.18,83.84,3,0
316,502000,84.30,6224.18,83.84,0,0
317,503000,84.30,6224.18,83.84,0,0
318,504000,77.23,6220.18,83.84,0,0
319,505000,-0.78,6195.14,83.85,0,0
320,506000,-83.22,6205.03,83.87,0,0
321,507000,-168.03,6245.63,83.88,0,0
322,508000,-251.90,6238.02,83.89,0,0
323,509000,-336.99,6202.85,83.91,0,0
324,510000,-424.22,6195.52,83.92,0,0
325,511000,-506.64,6164.88,83.94,0,0
